group,name,key,value
Gender,F,26B5,B5BE
Gender,M,26B5,72FF
Age Groups,18 - 19,6615,2311
Age Groups,20 - 24,6615,5EE2
Age Groups,25 - 34,6615,9BE3
Age Groups,35 - 44,6615,6BF1
Age Groups,45 - 54,6615,3B86
Age Groups,55 - 64,6615,0B96
Age Groups,>65,6615,8A60
Card Type,RIC,C117,6502
Card Type,NOR,C117,0F00
Card Type,DAV,C117,AE25
Customer,Consumer,5DBC,91B1
Customer,Business,5DBC,55D9
Campaign,Abbonamento,A259,DA15
Campaign,Generico,A259,E91D
Campaign,Fibra,A259,DDC8
netflix,activation,DFDD,0E9B
Message+,true,007B,3771
Nielsen Area,Area 1,3A17,A0D6
Nielsen Area,Area 2,3A17,A196
Nielsen Area,Area 3,3A17,6157
Nielsen Area,Area 4,3A17,A316
Region,Abruzzo,D522,E68C
Region,Basilicata,D522,2A40
Region,Calabria,D522,EB23
Region,Campania,D522,BB1F
Region,Emilia-Romagna,D522,064A
Region,Friuli-Venezia Giulia,D522,8070
Region,Lazio,D522,D10D
Region,Liguria,D522,A851
Region,Lombardia,D522,BD69
Region,Marche,D522,6DF1
Region,Molise,D522,76B4
Region,Piemonte,D522,5330
Region,Puglia,D522,BFF6
Region,Sardegna,D522,D9FF
Region,Sicilia,D522,3F29
Region,Toscana,D522,710E
Region,Trentino-Alto Adige,D522,D411
Region,Umbria,D522,22B6
Region,Valle d'Aosta,D522,D715
Region,Veneto,D522,106C
Province,Agrigento,3E43,3D0F
Province,Alessandria,3E43,BCF1
Province,Ancona,3E43,70FF
Province,Aosta,3E43,B295
Province,Arezzo,3E43,3AB1
Province,Ascoli Piceno,3E43,5923
Province,Asti,3E43,ABDB
Province,Avellino,3E43,4570
Province,Bari,3E43,4A78
Province,Barletta,3E43,484D
Province,Belluno,3E43,A563
Province,Benevento,3E43,1ABB
Province,Bergamo,3E43,7789
Province,Biella,3E43,6BBB
Province,Bologna,3E43,8A42
Province,Bolzano,3E43,4327
Province,Brescia,3E43,67D9
Province,Brindisi,3E43,AE87
Province,Cagliari,3E43,B39E
Province,Caltanissetta,3E43,4D19
Province,Campobasso,3E43,5270
Province,Carbonia - Iglesias,3E43,4F7F
Province,Caserta,3E43,DADF
Province,Catania,3E43,BCA3
Province,Catanzaro,3E43,4919
Province,Chieti,3E43,EE5F
Province,Como,3E43,4790
Province,Cosenza,3E43,521B
Province,Cremona,3E43,BC0D
Province,Crotone,3E43,2293
Province,Cuneo,3E43,F8F6
Province,Enna,3E43,3B40
Province,Fermo,3E43,3EF8
Province,Ferrara,3E43,4F41
Province,Firenze,3E43,3772
Province,Foggia,3E43,C541
Province,Forlì - Cesena,3E43,27D4
Province,Frosinone,3E43,4796
Province,Genova,3E43,7B52
Province,Gorizia,3E43,362D
Province,Grosseto,3E43,70EC
Province,Imperia,3E43,4638
Province,Isernia,3E43,49F2
Province,La Spezia,3E43,8B1D
Province,L'Aquila,3E43,079C
Province,Latina,3E43,D94F
Province,Lecce,3E43,5DB4
Province,Lecco,3E43,5A34
Province,Livorno,3E43,EE64
Province,Lodi,3E43,0115
Province,Lucca,3E43,5EB1
Province,Macerata,3E43,38C6
Province,Mantova,3E43,4248
Province,Massa,3E43,6B85
Province,Matera,3E43,CB86
Province,Messina,3E43,B14E
Province,Milano,3E43,6FA9
